2014-11-18|Cory Joseph|5|NBA|San Antonio Spurs|PG|70|17|17|http://espn.go.com/nba/player/stats/_/id/6446/cory-joseph
2014-11-18|Eric Gordon|10|NBA|New Orleans Pelicans|SG|65|21|14|http://espn.go.com/nba/player/stats/_/id/3431/eric-gordon
2014-11-18|Tiago Splitter|22|NBA|San Antonio Spurs|PF|5|4|2|http://espn.go.com/nba/player/stats/_/id/3233/tiago-splitter
2014-11-18|Patty Mills|8|NBA|San Antonio Spurs|PG|0|0|0|http://espn.go.com/nba/player/stats/_/id/4004/patty-mills
2014-11-18|Luke Babbitt|8|NBA|New Orleans Pelicans|SF|15|8|2|http://espn.go.com/nba/player/stats/_/id/4250/luke-babbitt
2014-11-18|Ryan Anderson|33|NBA|New Orleans Pelicans|PF|130|47|7|http://espn.go.com/nba/player/stats/_/id/3412/ryan-anderson
2014-11-18|Manu Ginobili|20|NBA|San Antonio Spurs|SG|108|21|32|http://espn.go.com/nba/player/stats/_/id/272/manu-ginobili
2014-11-18|Jeff Withey|5|NBA|New Orleans Pelicans|C|2|2|0|http://espn.go.com/nba/player/stats/_/id/2333797/jeff-withey
2014-11-18|Darius Miller|2|NBA|New Orleans Pelicans|SF|2|0|2|http://espn.go.com/nba/player/stats/_/id/6610/darius-miller
2014-11-18|Anthony Davis|23|NBA|New Orleans Pelicans|PF|196|94|17|http://espn.go.com/nba/player/stats/_/id/6583/anthony-davis
2014-11-18|Alexis Ajinca|42|NBA|New Orleans Pelicans|C|19|11|1|http://espn.go.com/nba/player/stats/_/id/3410/alexis-ajinca
2014-11-18|Jrue Holiday|11|NBA|New Orleans Pelicans|PG|130|17|55|http://espn.go.com/nba/player/stats/_/id/3995/jrue-holiday
2014-11-18|Omer Asik|3|NBA|New Orleans Pelicans|C|72|80|12|http://espn.go.com/nba/player/stats/_/id/3414/omer-asik
2014-11-18|John Salmons|15|NBA|New Orleans Pelicans|SF|0|3|2|http://espn.go.com/nba/player/stats/_/id/1726/john-salmons
2014-11-18|Jimmer Fredette|32|NBA|New Orleans Pelicans|PG|17|2|5|http://espn.go.com/nba/player/stats/_/id/6434/jimmer-fredette
2014-11-18|Patric Young|4|NBA|New Orleans Pelicans|PF|0|0|0|http://espn.go.com/nba/player/stats/_/id/2527926/patric-young
2014-11-18|K.J. McDaniels|14|NBA|Philadelphia 76ers|SG|77|22|10|http://espn.go.com/nba/player/stats/_/id/2566741/k.j.-mcdaniels
2014-11-18|Joel Embiid|21|NBA|Philadelphia 76ers|C|0|0|0|http://espn.go.com/nba/player/stats/_/id/3059318/joel-embiid
2014-11-18|Robert Covington|99|NBA|Philadelphia 76ers|SF|0|0|0|http://espn.go.com/nba/player/stats/_/id/2490620/robert-covington
2014-11-18|Jerami Grant|39|NBA|Philadelphia 76ers|SF|0|0|0|http://espn.go.com/nba/player/stats/_/id/2991070/jerami-grant
2014-11-18|Russ Smith|9|NBA|New Orleans Pelicans|PG|0|0|0|http://espn.go.com/nba/player/stats/_/id/2531038/russ-smith
2014-11-18|Austin Rivers|25|NBA|New Orleans Pelicans|SG|67|14|21|http://espn.go.com/nba/player/stats/_/id/6617/austin-rivers
2014-11-18|Jason Richardson|23|NBA|Philadelphia 76ers|SG|0|0|0|http://espn.go.com/nba/player/stats/_/id/1018/jason-richardson
2014-11-18|Brandon Davies|0|NBA|Philadelphia 76ers|PF|85|35|14|http://espn.go.com/nba/player/stats/_/id/2490144/brandon-davies
2014-11-18|Drew Gordon|30|NBA|Philadelphia 76ers|C|4|8|2|http://espn.go.com/nba/player/stats/_/id/2327465/drew-gordon
2014-11-18|Nerlens Noel|4|NBA|Philadelphia 76ers|PF|49|41|13|http://espn.go.com/nba/player/stats/_/id/2991280/nerlens-noel
2014-11-18|Michael Carter-Williams|1|NBA|Philadelphia 76ers|PG|32|13|10|http://espn.go.com/nba/player/stats/_/id/2596108/michael-carter-williams
2014-11-18|Alexey Shved|88|NBA|Philadelphia 76ers|PG|68|7|24|http://espn.go.com/nba/player/stats/_/id/3882/alexey-shved
2014-11-18|Luc Richard Mbah a Moute|12|NBA|Philadelphia 76ers|PF|63|48|13|http://espn.go.com/nba/player/stats/_/id/3451/luc-richard-mbah-a-moute
2014-11-18|JaKarr Sampson|9|NBA|Philadelphia 76ers|PF|18|15|6|http://espn.go.com/nba/player/stats/_/id/2608891/jakarr-sampson
2014-11-18|Hollis Thompson|31|NBA|Philadelphia 76ers|SG|78|27|11|http://espn.go.com/nba/player/stats/_/id/6634/hollis-thompson
2014-11-18|Tony Mitchell|9|NBA|Detroit Pistons|PF|0|0|0|http://espn.go.com/nba/player/stats/_/id/2583664/tony-mitchell
2014-11-18|Henry Sims|35|NBA|Philadelphia 76ers|C|77|52|15|http://espn.go.com/nba/player/stats/_/id/6647/henry-sims
2014-11-18|Kentavious Caldwell-Pope|5|NBA|Detroit Pistons|SG|117|36|9|http://espn.go.com/nba/player/stats/_/id/2581018/kentavious-caldwell-pope
2014-11-18|Spencer Dinwiddie|8|NBA|Detroit Pistons|PG|0|0|1|http://espn.go.com/nba/player/stats/_/id/2580782/spencer-dinwiddie
2014-11-18|D.J. Augustin|14|NBA|Detroit Pistons|PG|103|18|31|http://espn.go.com/nba/player/stats/_/id/3415/d.j.-augustin
2014-11-18|Cartier Martin|35|NBA|Detroit Pistons|PF|0|0|0|http://espn.go.com/nba/player/stats/_/id/3930/cartier-martin
2014-11-18|Tony Wroten|8|NBA|Philadelphia 76ers|SG|183|38|57|http://espn.go.com/nba/player/stats/_/id/6630/tony-wroten
2014-11-18|Brandon Jennings|7|NBA|Detroit Pistons|PG|162|29|60|http://espn.go.com/nba/player/stats/_/id/3997/brandon-jennings
2014-11-18|Kyle Singler|25|NBA|Detroit Pistons|SF|61|24|6|http://espn.go.com/nba/player/stats/_/id/6469/kyle-singler
